Visitor,Visitor pts,Home,Home pts,Winner
Minnesota Timberwolves,116,Toronto Raptors,112,0
Portland Trail Blazers,121,Dallas Mavericks,118,0
Milwaukee Bucks,109,Oklahoma City Thunder,114,1
Orlando Magic,90,Phoenix Suns,109,1
Los Angeles Lakers,105,Denver Nuggets,122,1
Cleveland Cavaliers,111,Los Angeles Clippers,128,1
Memphis Grizzlies,124,Sacramento Kings,110,0
Chicago Bulls,120,Indiana Pacers,112,0
Houston Rockets,119,Washington Wizards,131,1
Atlanta Hawks,112,New York Knicks,123,1
Philadelphia 76ers,123,Utah Jazz,134,1
Cleveland Cavaliers,98,Golden State Warriors,129,1
Miami Heat,118,Los Angeles Clippers,125,1
Brooklyn Nets,136,Sacramento Kings,125,0
Denver Nuggets,99,Boston Celtics,112,1
New Orleans Pelicans,144,Memphis Grizzlies,113,0
Toronto Raptors,124,Milwaukee Bucks,113,0
Los Angeles Lakers,112,Minnesota Timberwolves,104,0
Portland Trail Blazers,115,Oklahoma City Thunder,104,0
Brooklyn Nets,128,Phoenix Suns,124,0
New York Knicks,89,Orlando Magic,107,1
Atlanta Hawks,122,Boston Celtics,114,0
Houston Rockets,113,Philadelphia 76ers,118,1
Detroit Pistons,102,Chicago Bulls,105,1
Indiana Pacers,134,Minnesota Timberwolves,128,0
Denver Nuggets,128,Washington Wizards,130,1
Oklahoma City Thunder,113,Memphis Grizzlies,122,1
Portland Trail Blazers,126,New Orleans Pelicans,124,0
Miami Heat,112,Golden State Warriors,120,1
Utah Jazz,114,Los Angeles Clippers,96,0
Toronto Raptors,110,Milwaukee Bucks,96,0
Brooklyn Nets,109,Los Angeles Lakers,98,0
Miami Heat,118,Sacramento Kings,110,0
Denver Nuggets,120,Cleveland Cavaliers,103,0
Golden State Warriors,120,Orlando Magic,124,1
Atlanta Hawks,109,Boston Celtics,121,1
Chicago Bulls,105,Philadelphia 76ers,112,1
Detroit Pistons,95,Memphis Grizzlies,109,1
Oklahoma City Thunder,85,Milwaukee Bucks,98,1
Phoenix Suns,132,New Orleans Pelicans,114,0
Toronto Raptors,86,Minnesota Timberwolves,81,0
Utah Jazz,112,Los Angeles Clippers,116,1
Golden State Warriors,100,Charlotte Hornets,102,1
Miami Heat,96,Los Angeles Lakers,94,0
Sacramento Kings,114,Chicago Bulls,122,1
Phoenix Suns,128,Memphis Grizzlies,97,0
Washington Wizards,118,Portland Trail Blazers,111,0
Boston Celtics,115,New Orleans Pelicans,120,1
Oklahoma City Thunder,117,Cleveland Cavaliers,101,0
Minnesota Timberwolves,99,New York Knicks,103,1
Detroit Pistons,96,Orlando Magic,105,1
Philadelphia 76ers,103,Toronto Raptors,110,1
Denver Nuggets,115,Atlanta Hawks,123,1
Brooklyn Nets,112,Los Angeles Clippers,108,0
Sacramento Kings,115,Milwaukee Bucks,128,1
Chicago Bulls,120,Houston Rockets,100,0
Memphis Grizzlies,92,Dallas Mavericks,102,1
Miami Heat,108,Oklahoma City Thunder,94,0
Portland Trail Blazers,100,Phoenix Suns,132,1
Charlotte Hornets,110,Utah Jazz,132,1
Washington Wizards,127,Los Angeles Lakers,124,0
Atlanta Hawks,111,Cleveland Cavaliers,112,1
Detroit Pistons,105,Orlando Magic,93,0
Sacramento Kings,118,Brooklyn Nets,127,1
Boston Celtics,107,Dallas Mavericks,110,1
Golden State Warriors,114,New York Knicks,106,0
Philadelphia 76ers,109,Toronto Raptors,102,0
Minnesota Timberwolves,112,Milwaukee Bucks,139,1
Portland Trail Blazers,106,Denver Nuggets,111,1
Washington Wizards,116,Los Angeles Clippers,135,1
Boston Celtics,112,Atlanta Hawks,127,1
Houston Rockets,96,Cleveland Cavaliers,112,1
Golden State Warriors,111,Indiana Pacers,107,0
Minnesota Timberwolves,126,Chicago Bulls,133,1
Toronto Raptors,108,Miami Heat,116,1
Detroit Pistons,118,New Orleans Pelicans,128,1
San Antonio Spurs,99,Oklahoma City Thunder,102,1
Charlotte Hornets,124,Phoenix Suns,121,0
Los Angeles Lakers,89,Utah Jazz,114,1
Dallas Mavericks,97,Philadelphia 76ers,111,1
Orlando Magic,92,Brooklyn Nets,129,1
Sacramento Kings,121,New York Knicks,140,1
Los Angeles Clippers,94,Memphis Grizzlies,122,1
Washington Wizards,112,Denver Nuggets,110,0
New Orleans Pelicans,125,Milwaukee Bucks,129,1
Indiana Pacers,112,Boston Celtics,118,1
Houston Rockets,111,Toronto Raptors,122,1
Phoenix Suns,106,Chicago Bulls,97,0
Sacramento Kings,110,Detroit Pistons,107,0
Los Angeles Clippers,119,Memphis Grizzlies,99,0
Utah Jazz,116,Miami Heat,124,1
Atlanta Hawks,109,Oklahoma City Thunder,118,1
Charlotte Hornets,121,Golden State Warriors,130,1
Portland Trail Blazers,93,Los Angeles Lakers,102,1
Cleveland Cavaliers,112,Philadelphia 76ers,109,0
Minnesota Timberwolves,112,Washington Wizards,128,1
Indiana Pacers,107,New York Knicks,110,1
Denver Nuggets,126,Oklahoma City Thunder,96,0
Utah Jazz,124,Orlando Magic,109,0
New Orleans Pelicans,114,San Antonio Spurs,117,1
Dallas Mavericks,115,Brooklyn Nets,98,0
Los Angeles Clippers,100,Milwaukee Bucks,105,1
Washington Wizards,110,Boston Celtics,111,1
New York Knicks,109,Detroit Pistons,90,0
Memphis Grizzlies,133,Houston Rockets,84,0
Golden State Warriors,91,Los Angeles Lakers,117,1
Atlanta Hawks,99,Miami Heat,109,1
Phoenix Suns,118,Minnesota Timberwolves,99,0
Charlotte Hornets,127,Sacramento Kings,126,0
Dallas Mavericks,130,Orlando Magic,124,0
Indiana Pacers,114,Philadelphia 76ers,130,1
Denver Nuggets,118,Chicago Bulls,112,0
Utah Jazz,124,New Orleans Pelicans,129,1
Brooklyn Nets,124,San Antonio Spurs,113,0
Cleveland Cavaliers,101,Houston Rockets,90,0
Charlotte Hornets,111,Portland Trail Blazers,123,1
Memphis Grizzlies,125,Washington Wizards,111,0
Los Angeles Clippers,112,Boston Celtics,117,1
Atlanta Hawks,94,Miami Heat,80,0
New York Knicks,93,San Antonio Spurs,119,1
Denver Nuggets,128,Milwaukee Bucks,97,0
Phoenix Suns,114,Los Angeles Lakers,104,0
Indiana Pacers,114,Cleveland Cavaliers,111,0
Utah Jazz,123,Philadelphia 76ers,131,1
Detroit Pistons,129,Toronto Raptors,105,0
Brooklyn Nets,132,Houston Rockets,114,0
Charlotte Hornets,135,Minnesota Timberwolves,102,0
Chicago Bulls,128,New Orleans Pelicans,124,0
Atlanta Hawks,115,Orlando Magic,112,0
Oklahoma City Thunder,78,Dallas Mavericks,87,1
Golden State Warriors,106,Portland Trail Blazers,108,1
Los Angeles Lakers,120,Sacramento Kings,123,1
Toronto Raptors,125,Boston Celtics,132,1
Los Angeles Clippers,117,Washington Wizards,119,1
Detroit Pistons,104,New York Knicks,114,1
Denver Nuggets,113,Indiana Pacers,103,0
Milwaukee Bucks,112,Memphis Grizzlies,111,0
Miami Heat,103,New Orleans Pelicans,93,0
Oklahoma City Thunder,107,San Antonio Spurs,102,0
Golden State Warriors,98,Phoenix Suns,120,1
Sacramento Kings,119,Portland Trail Blazers,123,1
Washington Wizards,112,Memphis Grizzlies,127,1
San Antonio Spurs,104,Dallas Mavericks,115,1
Detroit Pistons,102,Charlotte Hornets,105,1
Boston Celtics,109,Brooklyn Nets,121,1
Atlanta Hawks,121,Toronto Raptors,120,0
Philadelphia 76ers,127,Chicago Bulls,105,0
Orlando Magic,103,Miami Heat,111,1
New York Knicks,101,Milwaukee Bucks,134,1
Minnesota Timberwolves,135,New Orleans Pelicans,105,0
Dallas Mavericks,108,Oklahoma City Thunder,116,1
Golden State Warriors,104,Los Angeles Clippers,130,1
Phoenix Suns,127,Portland Trail Blazers,121,0
Houston Rockets,105,Sacramento Kings,125,1
Denver Nuggets,103,Memphis Grizzlies,102,0
Cleveland Cavaliers,82,New Orleans Pelicans,116,1
